Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Login,Chrome 115.0.0.0,,,2023-07-23 10:44:18,2023-07-23 10:45:00,42.407s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Login/LG0001 - user should be able to login using valid credential,Chrome 115.0.0.0,,,2023-07-23 10:44:18,2023-07-23 10:44:36,17.806s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:19,2023-07-23 10:44:23,4.461s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:23,2023-07-23 10:44:27,3.287s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:27,2023-07-23 10:44:28,1.477s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":EmailAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:28,2023-07-23 10:44:31,3.033s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":PasswordAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:31,2023-07-23 10:44:34,2.475s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:34,2023-07-23 10:44:35,1.189s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:35,2023-07-23 10:44:36,1.406s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Login/LG0002 - user should not be able to login using invalid email,Chrome 115.0.0.0,,,2023-07-23 10:44:36,2023-07-23 10:44:48,12.062s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:37,2023-07-23 10:44:39,2.027s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:39,2023-07-23 10:44:39,0.627s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:39,2023-07-23 10:44:40,0.960s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":InvalidEmailAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:40,2023-07-23 10:44:43,2.352s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":PasswordAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:43,2023-07-23 10:44:45,2.199s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:45,2023-07-23 10:44:46,0.970s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Error Message""), [""expected"":""Invalid Email or password.""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:46,2023-07-23 10:44:47,1.503s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:47,2023-07-23 10:44:48,0.977s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Login/LG0003 - user should not be able to login using invalid password,Chrome 115.0.0.0,,,2023-07-23 10:44:48,2023-07-23 10:45:00,12.165s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:49,2023-07-23 10:44:51,1.882s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:51,2023-07-23 10:44:51,0.716s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:51,2023-07-23 10:44:52,0.889s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":EmailAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:52,2023-07-23 10:44:55,2.456s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":InvalidPasswordAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:55,2023-07-23 10:44:57,2.186s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:57,2023-07-23 10:44:58,0.893s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Error Message""), [""expected"":""Invalid Email or password.""], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-23 10:44:58,2023-07-23 10:44:59,1.258s,PASSED
