Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit My Profile,Chrome 115.0.0.0,,,2023-07-24 09:29:55,2023-07-24 09:30:41,45.588s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Edit Profile/PROUSER001 - user should be abe to edit profiles,Chrome 115.0.0.0,,,2023-07-24 09:29:55,2023-07-24 09:30:22,26.932s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:29:56,2023-07-24 09:29:59,3.198s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:29:59,2023-07-24 09:30:01,2.599s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:01,2023-07-24 09:30:03,1.369s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailRizki], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:03,2023-07-24 09:30:05,2.579s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":passwordRizki], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:05,2023-07-24 09:30:07,2.093s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:07,2023-07-24 09:30:08,0.951s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_User""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:08,2023-07-24 09:30:10,1.280s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Click Account""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:10,2023-07-24 09:30:11,1.005s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Input Nama""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:11,2023-07-24 09:30:12,1.637s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Select Kota""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:12,2023-07-24 09:30:14,1.860s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Input Alamat""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:14,2023-07-24 09:30:16,1.782s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Input Nomor HP""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:16,2023-07-24 09:30:18,1.608s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/My Profiles/Button Simpan""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:18,2023-07-24 09:30:21,3.787s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 09:30:21,2023-07-24 09:30:22,0.871s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Edit Profile/PROUSER002 - user should not be able to edit profile using blank input,Chrome 115.0.0.0,,,2023-07-24 09:30:22,2023-07-24 09:30:41,18.417s,PASSED
