Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Register,,,,2023-07-24 09:44:55,2023-07-24 09:47:52,2m - 56.747s,PASSED
,,,,,,,
Test Cases/secondhand-app/Step Definition/Feature Registration/PR001 - user should be able to register with valid credential,,,,2023-07-24 09:44:55,2023-07-24 09:45:44,48.485s,PASSED
"startApplication(""androidapp/app-release-second-hand-gcp.apk"", false)",,,,2023-07-24 09:44:55,2023-07-24 09:45:09,13.455s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/MenuBar App/Tap Akun""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:09,2023-07-24 09:45:14,4.853s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/My Account/Tap Masuk""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:14,2023-07-24 09:45:15,1.161s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Login/Tap Daftar""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:15,2023-07-24 09:45:17,1.756s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Nama""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:17,2023-07-24 09:45:20,3.462s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Email - Rizki Valid Random""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:20,2023-07-24 09:45:23,3.264s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Password - Rizki Valid""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:23,2023-07-24 09:45:26,2.681s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Nomor HP""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:26,2023-07-24 09:45:29,3.242s,PASSED
"callTestCase(findTestCase(""secondhand-app/Pages/User Registration/Input Kota""), [:], STOP_ON_FAILURE)",,,,2023-07-24 09:45:29,2023-07-24 09:45:33,3.269s,PASSED
