Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Login,Chrome 115.0.0.0,,,2023-07-24 20:02:26,2023-07-24 20:03:18,51.796s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Login/LG0001 - user should be able to login using valid credential,Chrome 115.0.0.0,,,2023-07-24 20:02:26,2023-07-24 20:02:47,20.934s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:27,2023-07-24 20:02:32,4.676s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:32,2023-07-24 20:02:34,2.581s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:34,2023-07-24 20:02:36,1.864s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":EmailAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:36,2023-07-24 20:02:40,3.711s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":PasswordAsiyah], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:40,2023-07-24 20:02:43,3.104s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:43,2023-07-24 20:02:45,1.822s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Close Web""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-07-24 20:02:45,2023-07-24 20:02:47,2.602s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Login/LG0002 - user should not be able to login using invalid email,Chrome 115.0.0.0,,,2023-07-24 20:02:47,2023-07-24 20:03:02,14.614s,PASSED
