Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Product,Chrome 114.0.0.0,,,2023-07-19 11:11:26,2023-07-19 11:12:36,1m - 9.537s,PASSED
,,,,,,,
Test Cases/secondhand-web/Step Definition/Feature Edit Product/EditCat001 - user should be able to edit product catalog with valid input,Chrome 114.0.0.0,,,2023-07-19 11:11:27,2023-07-19 11:12:04,37.349s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Launch Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:27,2023-07-19 11:11:31,4.112s,PASSED
"callTestCase(findTestCase(""secondhand-web/Common/Navigate To Web""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:31,2023-07-19 11:11:33,1.801s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Click Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:33,2023-07-19 11:11:34,1.198s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Email""), [""email"":emailOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:34,2023-07-19 11:11:37,2.650s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Input Password""), [""password"":pwdOktaSeller], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:37,2023-07-19 11:11:39,2.332s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/User Login/Button Masuk""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:39,2023-07-19 11:11:40,1.120s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Homepage/Icon_Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:40,2023-07-19 11:11:42,1.395s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Click Detail Product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:42,2023-07-19 11:11:43,1.055s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Click button edit in detail product""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:43,2023-07-19 11:11:44,1.109s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Edit Product Name""), [""product_name"":""Norton""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:44,2023-07-19 11:11:46,2.212s,PASSED
"callTestCase(findTestCase(""secondhand-web/Pages/Edit Product/Edit Product Price""), [""product_price"":""1234567""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 11:11:46,2023-07-19 11:11:48,2.279s,PASSED
